Epoch,Contrastive_Loss,L1_Loss,LL_PSNR,LL_SSIM,DR_PSNR,DR_SSIM,DH_PSNR,DH_SSIM,Avg_PSNR,Avg_SSIM
1,3.6382,,,,,,,,,
2,4.7448,,,,,,,,,
3,5.0413,,,,,,,,,
4,5.0322,,,,,,,,,
5,4.7139,,,,,,,,,
6,4.816,,,,,,,,,
7,4.2717,,,,,,,,,
8,4.3297,,,,,,,,,
9,4.7358,,,,,,,,,
10,4.4767,,,,,,,,,
11,4.2522,,,,,,,,,
12,4.5567,,,,,,,,,
13,4.518,,,,,,,,,
14,4.3766,,,,,,,,,
15,4.6415,,,,,,,,,
16,4.5042,0.1204,,,,,,,,
17,4.6877,0.084,,,,,,,,
18,4.1308,0.0714,,,,,,,,
19,4.6611,0.0687,,,,,,,,
20,4.4494,0.0668,10.2755,0.5588,30.5965,0.9316,21.3021,0.8667,20.7247,0.7857
21,4.291,0.0654,,,,,,,,
22,4.5396,0.0625,,,,,,,,
23,4.7877,0.0614,,,,,,,,
24,5.0535,0.0613,,,,,,,,
25,4.796,0.0593,11.3807,0.6385,32.6724,0.9503,12.6957,0.7555,18.9163,0.7814
26,4.8095,0.061,,,,,,,,
27,4.372,0.0583,,,,,,,,
28,4.3864,0.0593,,,,,,,,
29,4.2374,0.0562,,,,,,,,
30,4.3843,0.0586,12.6712,0.6827,32.4931,0.9489,21.7598,0.9117,22.308,0.8478
31,4.7278,0.0622,,,,,,,,
32,4.6687,0.0602,,,,,,,,
33,4.6579,0.0571,,,,,,,,
34,4.3345,0.0548,,,,,,,,
35,4.3859,0.0564,12.5729,0.6756,32.7301,0.9518,21.8626,0.8972,22.3885,0.8416
36,4.3327,0.0523,,,,,,,,
37,4.3176,0.0549,,,,,,,,
38,4.1748,0.0519,,,,,,,,
39,4.2289,0.0516,,,,,,,,
40,4.1985,0.0518,10.8018,0.6442,32.9652,0.9514,25.3406,0.9419,23.0359,0.8458
41,4.2774,0.056,,,,,,,,
42,4.2762,0.0489,,,,,,,,
43,4.3041,0.0513,,,,,,,,
44,4.3245,0.0499,,,,,,,,
45,4.2201,0.0523,10.3302,0.6395,32.9664,0.9533,25.7081,0.9421,23.0016,0.845
46,4.2875,0.05,,,,,,,,
47,4.011,0.0519,,,,,,,,
48,4.0778,0.0508,,,,,,,,
49,4.4144,0.0516,,,,,,,,
50,4.6181,0.0516,15.0619,0.7266,31.3808,0.941,24.7057,0.9429,23.7161,0.8701
51,4.4005,0.0581,,,,,,,,
52,4.1825,0.057,,,,,,,,
53,4.1348,0.0558,,,,,,,,
54,4.1053,0.0506,,,,,,,,
55,4.0911,0.0491,10.1997,0.6253,32.6882,0.9506,25.9672,0.9499,22.9517,0.8419
56,4.0574,0.0502,,,,,,,,
57,3.9082,0.0515,,,,,,,,
58,4.0447,0.0501,,,,,,,,
59,4.2186,0.0519,,,,,,,,
60,4.29,0.0539,10.3755,0.6373,32.4677,0.9472,22.1087,0.9004,21.6506,0.8283
61,4.2015,0.0499,,,,,,,,
62,4.2533,0.0467,,,,,,,,
63,4.2955,0.0486,,,,,,,,
64,3.7426,0.0485,,,,,,,,
65,4.1129,0.0478,11.4792,0.6709,33.4178,0.9549,23.5774,0.9163,22.8248,0.8473
66,4.2424,0.0469,,,,,,,,
67,4.288,0.0471,,,,,,,,
68,4.1208,0.0509,,,,,,,,
69,4.3905,0.0483,,,,,,,,
70,4.807,0.047,11.1781,0.6581,33.117,0.9536,23.8002,0.9142,22.6984,0.842
71,4.3447,0.0466,,,,,,,,
72,4.3144,0.0465,,,,,,,,
73,4.1602,0.0485,,,,,,,,
74,4.2288,0.0485,,,,,,,,
75,3.9932,0.0454,14.4817,0.7297,33.2944,0.9534,24.3389,0.9271,24.0383,0.8701
76,4.2099,0.0455,,,,,,,,
77,3.5895,0.0484,,,,,,,,
78,3.796,0.0451,,,,,,,,
79,4.4071,0.0458,,,,,,,,
80,4.351,0.0458,12.3165,0.7,32.8168,0.952,23.7125,0.9329,22.9486,0.8616
81,4.0811,0.0465,,,,,,,,
82,4.2988,0.0482,,,,,,,,
83,3.9121,0.0479,,,,,,,,
84,3.8223,0.0451,,,,,,,,
85,3.8014,0.0478,12.6502,0.706,32.8064,0.9522,25.8671,0.9505,23.7746,0.8695
86,3.8212,0.0472,,,,,,,,
87,3.7147,0.05,,,,,,,,
88,3.8963,0.0467,,,,,,,,
89,3.8635,0.0461,,,,,,,,
90,3.7292,0.0476,10.0697,0.6401,33.4296,0.9547,21.9846,0.9094,21.828,0.8347
